Step	Loss	Loss per Cell	 Change 
238	6043782144.000000	87276.093750	182.023438
239	6031246336.000000	87095.070312	181.023438
240	6018803200.000000	86915.382812	179.687500
241	6006475776.000000	86737.367188	178.015625
242	5994203136.000000	86560.140625	177.226562
243	5982029312.000000	86384.343750	175.796875
244	5969928192.000000	86209.593750	174.750000
245	5957907456.000000	86036.007812	173.585938
246	5945977344.000000	85863.726562	172.281250
247	5934112768.000000	85692.398438	171.328125
248	5922318336.000000	85522.078125	170.320312
249	5910634496.000000	85353.351562	168.726562
250	5898976768.000000	85185.007812	168.343750
251	5887446016.000000	85018.500000	166.507812
252	5875977216.000000	84852.882812	165.617188
253	5864569856.000000	84688.148438	164.734375
254	5853255680.000000	84524.765625	163.382812
255	5841988096.000000	84362.054688	162.710938
256	5830828032.000000	84200.898438	161.156250
257	5819749376.000000	84040.914062	159.984375
258	5808714240.000000	83881.562500	159.351562
259	5797737472.000000	83723.046875	158.515625
260	5786829824.000000	83565.539062	157.507812
261	5776023040.000000	83409.476562	156.062500
262	5765278720.000000	83254.328125	155.148438
263	5754581504.000000	83099.851562	154.476562
264	5743942144.000000	82946.210938	153.640625
265	5733392384.000000	82793.867188	152.343750
266	5722897408.000000	82642.312500	151.554688
267	5712478208.000000	82491.851562	150.460938
268	5702115840.000000	82342.210938	149.640625
269	5691796992.000000	82193.203125	149.007812
270	5681559552.000000	82045.367188	147.835938
271	5671380480.000000	81898.375000	146.992188
272	5661265920.000000	81752.312500	146.062500
273	5651193344.000000	81606.859375	145.453125
274	5641182720.000000	81462.296875	144.562500
275	5631252992.000000	81318.906250	143.390625
276	5621370880.000000	81176.203125	142.703125
277	5611538944.000000	81034.226562	141.976562
278	5601803264.000000	80893.632812	140.593750
279	5592056320.000000	80752.882812	140.750000
280	5582384128.000000	80613.210938	139.671875
281	5572797440.000000	80474.773438	138.437500
282	5563239936.000000	80336.757812	138.015625
283	5553726464.000000	80199.375000	137.382812
284	5544262144.000000	80062.703125	136.671875
285	5534854144.000000	79926.843750	135.859375
286	5525506560.000000	79791.859375	134.984375
287	5516206592.000000	79657.562500	134.296875
288	5506970624.000000	79524.187500	133.375000
289	5497756672.000000	79391.132812	133.054688
290	5488592384.000000	79258.796875	132.335938
291	5479479808.000000	79127.203125	131.593750
292	5470407168.000000	78996.187500	131.015625
293	5461392384.000000	78866.007812	130.179688
294	5452401152.000000	78736.171875	129.835938
295	5443468288.000000	78607.171875	129.000000
296	5434585088.000000	78478.898438	128.273438
297	5425728000.000000	78350.992188	127.906250
298	5416935936.000000	78224.031250	126.960938
299	5408169472.000000	78097.437500	126.593750
300	5399447040.000000	77971.476562	125.960938
301	5390754816.000000	77845.960938	125.515625
302	5382114816.000000	77721.195312	124.765625
303	5373536768.000000	77597.320312	123.875000
304	5364962304.000000	77473.500000	123.820312
305	5356432896.000000	77350.328125	123.171875
306	5347935744.000000	77227.625000	122.703125
307	5339482112.000000	77105.546875	122.078125
308	5331077632.000000	76984.179688	121.367188
309	5322703872.000000	76863.257812	120.921875
310	5314361856.000000	76742.796875	120.460938
311	5306049024.000000	76622.750000	120.046875
312	5297773568.000000	76503.250000	119.500000
313	5289538048.000000	76384.320312	118.929688
314	5281328128.000000	76265.765625	118.554688
315	5273159680.000000	76147.812500	117.953125
316	5265019904.000000	76030.265625	117.546875
317	5256921600.000000	75913.320312	116.945312
318	5248847360.000000	75796.726562	116.593750
319	5240813568.000000	75680.710938	116.015625
320	5232783360.000000	75564.750000	115.960938
321	5224798720.000000	75449.445312	115.304688
322	5216849920.000000	75334.664062	114.781250
323	5208934912.000000	75220.359375	114.304688
324	5201031680.000000	75106.234375	114.125000
325	5193160704.000000	74992.570312	113.664062
326	5185314816.000000	74879.273438	113.296875
327	5177509888.000000	74766.562500	112.710938
328	5169735168.000000	74654.296875	112.265625
329	5161978368.000000	74542.281250	112.015625
330	5154251264.000000	74430.695312	111.585938
331	5146548736.000000	74319.468750	111.226562
332	5138864128.000000	74208.492188	110.976562
333	5131209216.000000	74097.953125	110.539062
334	5123590656.000000	73987.937500	110.015625
335	5115987968.000000	73878.148438	109.789062
336	5108399616.000000	73768.570312	109.578125
337	5100851200.000000	73659.562500	109.007812
338	5093329408.000000	73550.945312	108.617188
339	5085829632.000000	73442.640625	108.304688
340	5078354944.000000	73334.703125	107.937500
341	5070892032.000000	73226.937500	107.765625
342	5063456256.000000	73119.554688	107.382812
343	5056038912.000000	73012.445312	107.109375
344	5048637952.000000	72905.570312	106.875000
345	5041268224.000000	72799.148438	106.421875
346	5033905152.000000	72692.820312	106.328125
347	5026576896.000000	72587.000000	105.820312
348	5019276288.000000	72481.570312	105.429688
349	5011993088.000000	72376.398438	105.171875
350	5004729856.000000	72271.507812	104.890625
351	4997477376.000000	72166.781250	104.726562
352	4990256640.000000	72062.507812	104.273438
353	4983047168.000000	71958.398438	104.109375
354	4975857664.000000	71854.578125	103.820312
355	4968688640.000000	71751.054688	103.523438
356	4961534464.000000	71647.742188	103.312500
357	4954409984.000000	71544.859375	102.882812
358	4947295744.000000	71442.125000	102.734375
359	4940216832.000000	71339.898438	102.226562
360	4933143040.000000	71237.750000	102.148438
361	4926079488.000000	71135.750000	102.000000
362	4919041536.000000	71034.117188	101.632812
363	4912003072.000000	70932.476562	101.640625
364	4904989184.000000	70831.195312	101.281250
365	4898003456.000000	70730.312500	100.882812
366	4891011072.000000	70629.335938	100.976562
367	4884060160.000000	70528.960938	100.375000
368	4877121536.000000	70428.765625	100.195312
369	4870203392.000000	70328.859375	99.906250
370	4863292416.000000	70229.062500	99.796875
371	4856389120.000000	70129.375000	99.687500
372	4849515008.000000	70030.109375	99.265625
373	4842651136.000000	69930.992188	99.117188
374	4835795968.000000	69832.000000	98.992188
375	4828959744.000000	69733.281250	98.718750
376	4822148096.000000	69634.914062	98.367188
377	4815345664.000000	69536.679688	98.234375
378	4808560640.000000	69438.703125	97.976562
379	4801795072.000000	69341.000000	97.703125
380	4795038208.000000	69243.429688	97.570312
381	4788283392.000000	69145.882812	97.546875
382	4781544960.000000	69048.578125	97.304688
383	4774818816.000000	68951.445312	97.132812
384	4768119296.000000	68854.703125	96.742188
385	4761416704.000000	68757.914062	96.789062
386	4754743808.000000	68661.554688	96.359375
387	4748079616.000000	68565.320312	96.234375
388	4741432832.000000	68469.335938	95.984375
389	4734801408.000000	68373.570312	95.765625
390	4728175104.000000	68277.882812	95.687500
391	4721555968.000000	68182.296875	95.585938
392	4714959360.000000	68087.039062	95.257812
393	4708374016.000000	67991.945312	95.093750
394	4701807104.000000	67897.109375	94.835938
395	4695245312.000000	67802.351562	94.757812
396	4688704000.000000	67707.898438	94.453125
397	4682171904.000000	67613.570312	94.328125
398	4675658240.000000	67519.507812	94.062500
399	4669154816.000000	67425.593750	93.914062
400	4662658048.000000	67331.773438	93.820312
401	4656171008.000000	67238.093750	93.679688
402	4649702912.000000	67144.695312	93.398438
